anio,pais,exportacion
2006,Afganistán,137388.88
2006,Alemania,24964795.55
2006,Angola,24649.15
2006,Anguila,16155.69
2006,Antigua y Barbuda,2229.92
2006,Antillas Holandesas,2234145.01
2006,Arabia Saudita,378122.54
2006,Argentina,6623518.31
2006,Aruba,3429242.49
2006,Australia,2092784.01
2006,Austria,56010.05
2006,Bahamas,343612.29
2006,Bahrein,29214.18
2006,Bangla Desh,163918.05
2006,Barbados,166226.27
2006,Bélgica,129004.09
2006,Belice,56011.55
2006,Benin,524681.89
2006,Bermudas,13847.07
2006,Bolivia,4155615.65
2006,Brasil,25185550.67
2006,Bulgaria,6753.93
2006,Caimán, Islas,26077.8
2006,Camboya,56520.76
2006,Canadá,17516903.81
2006,Centroafricana, Republica,63678.92
2006,Chile,57574660.21
2006,China,179534.44
2006,Congo,38639.45
2006,Corea,151251.21
2006,Costa de Marfil,50.68
2006,Costa Rica,62329246.63
2006,Croacia,4403.46
2006,Cuba,1658672.58
2006,Dinamarca,8513565.48
2006,Dominica,50182.97
2006,Ecuador,263507176.7
2006,Egipto,12381.56
2006,El Salvador,7297941.16
2006,Emiratos Árabes Unidos,367698.78
2006,Eslovaquia,42422.4
2006,España,14184926.52
2006,Estados Unidos,1061261682
2006,Estonia,114011.04
2006,Filipinas,351308.29
2006,Finlandia,27442.73
2006,Francia,29867674.26
2006,Gabón,296.81
2006,Gambia,23.41
2006,Ghana,97.81
2006,Granada,89.13
2006,Grecia,501488.82
2006,Guadalupe,31945.42
2006,Guatemala,14044324.7
2006,Guayana Francesa,4508.47
2006,Guyana,245.33
2006,Haití,454044.57
2006,Honduras,5657036.96
2006,Hong Kong,3105953.19
2006,Hungría,3667.64
2006,India,347431.14
2006,Indonesia,489538.33
2006,Irlanda,388753.13
2006,Israel,183279.17
2006,Italia,10914109.87
2006,Jamaica,791017.38
2006,Japón,1393097.28
2006,Jordania,48348.88
2006,Kenia,229259.81
2006,Kuwait,47406.75
2006,Líbano,194822.18
2006,Malasia,274197.71
2006,Maldivas,12013.05
2006,Marruecos,5076.81
2006,Martinica,393721.7
2006,México,335604608.9
2006,Nicaragua,628051.53
2006,Noruega,173336.54
2006,Nueva Zelandia,32601.89
2006,Países Bajos,2139318.01
2006,Panamá,53282924.01
2006,Paraguay,139423.86
2006,Perú,95543631.13
2006,Pitcairn,1506.06
2006,Polonia,38197.48
2006,Portugal,877367.94
2006,Puerto Rico,36520895.05
2006,Qatar,103614.42
2006,Reino Unido,16672183.3
2006,República Checa,37825.63
2006,República Dominicana ,20531964.49
2006,Rumania,7614.57
2006,Rusia, Federación de,46197.64
2006,San Vicente y las Granadinas,2084.59
2006,Santa Lucia,244636.06
2006,Singapur,81645.49
2006,Siria, República Árabe,1.36
2006,Sri Lanka,972727.27
2006,Sudáfrica,1628277.67
2006,Suecia,650192.32
2006,Suiza,141691.38
2006,Surinam,27902.4
2006,Tailandia,21389.93
2006,Taiwán, Provincia de China,579117.12
2006,Territorio autónomos de Palestina,37718.49
2006,Trinidad y Tobago,1411451.72
2006,Túnez,1682574.16
2006,Turcas y Caicos, Islas,16562.24
2006,Turquía,367245.59
2006,Uganda,76976.25
2006,Uruguay,812324.65
2006,Venezuela,825945619.6
2006,Vietnam,556530.57
2006,Vírgenes (británicas), Islas,13925.42
2006,Vírgenes (de los Estados Unidos), Islas,4937.46
2006,Yugoslavia,4609.16
2006,Zambia,0.23
2006,ZFP Barranquilla,5426126.59
2006,ZFP Bogotá,4105486.68
2006,ZFP Cucuta,61887599.45
2006,ZFP Pacifico,827128.51
2006,ZFP Palmaseca,4347459.1
2006,ZFP Rionegro,51455724.18
2006,ZFP Santa Marta,27507.5
2007,Alemania,21130371.46
2007,Angola,579.96
2007,Anguila,14459.33
2007,Antigua y Barbuda,112.08
2007,Antillas Holandesas,2063438.24
2007,Arabia Saudita,72976.17
2007,Argentina,6233797.95
2007,Aruba,2742306.8
2007,Australia,883403
2007,Austria,92325.83
2007,Bahamas,920429.62
2007,Bangla Desh,116521.33
2007,Barbados,69757.78
2007,Bélgica,411229.04
2007,Belice,3267.59
2007,Bermudas,4157.25
2007,Bolivia,5548428.31
2007,Brasil,29083809.91
2007,Bulgaria,3958.47
2007,Caimán, Islas,60813.86
2007,Camerún,109.31
2007,Canadá,15340646.36
2007,Chile,49904597.83
2007,China,721943.11
2007,Colombia,466366.17
2007,Corea,133065.43
2007,Corea, República Democrática,84.71
2007,Costa Rica,59758514.84
2007,Croacia,4668.35
2007,Cuba,3078698.29
2007,Dinamarca,3858018.79
2007,Dominica,49425.25
2007,Ecuador,252350245.1
2007,Egipto,14624.91
2007,El Salvador,3926807.19
