anio,pais,exportacion
2006,Alemania,3745137.16
2006,Antigua y Barbuda,57044.02
2006,Antillas Holandesas,116804.45
2006,Aruba,76680.48
2006,Australia,148190.66
2006,Barbados,13690.69
2006,Bélgica,1089830.54
2006,Benin,549.46
2006,Bolivia,400334.84
2006,Caimán. Islas,3858.03
2006,Canadá,57933.28
2006,Chile,1022936.75
2006,Congo,63303.88
2006,Costa Rica,334489.8
2006,Cuba,457883.83
2006,Dominica,779.46
2006,Ecuador,16411955.58
2006,El Salvador,491934.42
2006,España,677908.3
2006,Estados Unidos,13388833.46
2006,Fiji,2555.7
2006,Francia,803.76
2006,Granada,5784.78
2006,Guatemala,290095.57
2006,Guyana,80746.17
2006,Honduras,20635.79
2006,Italia,8448.05
2006,Jamaica,607654.34
2006,Japón,561974.24
2006,Kenia,2937.4
2006,Líbano,39303.15
2006,Mauricio,54556.13
2006,México,7781114.43
2006,Nueva Zelandia,2940.46
2006,Países Bajos,14681435.6
2006,Panamá,2640316.51
2006,Perú,418170.59
2006,Portugal,37597.68
2006,Puerto Rico,1767481.07
2006,Reino Unido,403833.27
2006,República Dominicana ,473417.05
2006,Rusia,604068.42
2006,Santa Lucia,65947.83
2006,Senegal,2083.21
2006,Singapur,1349021.75
2006,Sudáfrica,2828732.69
2006,Suecia,190193.75
2006,Suiza,1434547.75
2006,Surinam,50691.19
2006,Trinidad y Tobago,836554.89
2006,Venezuela,57430063.2
2006,ZFP Bogotá,24460.76
2006,ZFP Cucuta,51265.69
2007,Albania,4312.33
2007,Alemania,4033247.91
2007,Antigua y Barbuda,75673.5
2007,Antillas Holandesas,125866.08
2007,Argentina,251.13
2007,Aruba,56704.87
2007,Australia,9773.23
2007,Bahamas,47277.95
2007,Barbados,88855.23
2007,Bélgica,132846.67
2007,Bolivia,93911.21
2007,Brasil,92.53
2007,Canadá,85467.33
2007,Chile,444889.28
2007,Colombia,119.3
2007,Congo,350067.77
2007,Corea,3895.26
2007,Costa Rica,1863447.45
2007,Cuba,298233.4
2007,Dominica,17521.51
2007,Ecuador,13080565.09
2007,El Salvador,529586.66
2007,Eslovaquia,160955.92
2007,España,756339.7
2007,Estados Unidos,11953512.01
2007,Fiji,3813.65
2007,Francia,224094.31
2007,Granada,2879.81
2007,Guadalupe,1385.8
2007,Guatemala,346169.89
2007,Guyana,102594.97
2007,Honduras,153298.35
2007,Italia,80394.01
2007,Jamaica,685013.99
2007,Japón,445548.9
2007,Kenia,11709.94
2007,Líbano,71219.09
2007,Liberia,17214.57
2007,México,5731648.17
2007,Mozambique,14773.54
2007,Nepal,173.56
2007,Nicaragua,33.29
2007,Nueva Zelandia,6019.08
2007,Países Bajos,4369363.72
2007,Panamá,1807601.79
2007,Perú,571825.45
2007,Puerto Rico,1760748.15
2007,Reino Unido,1686889.53
2007,República Dominicana ,360946.61
2007,Rusia,2424827.39
2007,San Vicente y las Granadinas,1517.73
2007,Santa Lucia,35688.74
2007,Senegal,14773.54
2007,Sierra Leona,1526.6
2007,Siria. República Árabe,27919.88
2007,Sudáfrica,3737407.76
2007,Suecia,194113.5
2007,Suiza,87313.54
2007,Surinam,47896.58
2007,Trinidad y Tobago,977127.46
2007,Ucrania,6688.69
2007,Venezuela,54023937.99
2007,Yemen,7832.41
2007,Zambia,108481.88
2007,ZFP Cucuta,476021.63
2008,Alemania,1444214.65
2008,Angola,259476.96
2008,Antigua y Barbuda,58829.13
2008,Antillas Holandesas,110697.46
2008,Argentina,233713.62
2008,Aruba,62827.72
2008,Australia,9885.4
2008,Barbados,139456.18
2008,Bélgica,165261.6
2008,Bolivia,44468.14
2008,Canadá,80961.8
2008,Chile,445896.67
2008,Congo,436040.44
2008,Corea,182230.68
2008,Costa Rica,1596232.81
2008,Cuba,166068.31
2008,Dominica,36292.77
2008,Ecuador,14837741.17
2008,El Salvador,555750.47
2008,Emiratos Árabes Unidos,246.28
2008,Eslovaquia,100202.53
2008,España,552416.7
2008,Estados Unidos,15689917.89
2008,Fiji,8323.79
2008,Filipinas,20269.95
2008,Francia,1096583.77
2008,Gabón,4573.66
2008,Granada,13567.23
2008,Grecia,8873.62
2008,Guadalupe,5.16
2008,Guatemala,245556.46
2008,Guyana,155333.81
2008,Haití,215174.58
2008,Honduras,127041.59
2008,Irak,68112.82
2008,Italia,111443.43
2008,Jamaica,1107968.92
2008,Japón,749.4
2008,Líbano,37526.9
2008,Liberia,14218.88
2008,México,7509220.38
2008,Mónaco,1730399.4
2008,Mozambique,455687.34
2008,Nueva Zelandia,25951.67
2008,Países Bajos,2940829.76
2008,Panamá,2530200.47
2008,Perú,1227482.37
2008,Polonia,6582.37
2008,Puerto Rico,2611507.39
2008,Reino Unido,1697936.78
2008,República Checa,1461.76
2008,República Dominicana ,1285274.93
2008,Reunión,38513.35
2008,Rusia,4002174.1
2008,San Vicente y las Granadinas,2852.25
2008,Santa Lucia,99592.68
2008,Senegal,9674.8
2008,Sierra Leona,8849.58
2008,Sudáfrica,6961053.31
2008,Suecia,355532.23
2008,Suiza,2372401.4
2008,Surinam,69342.98
2008,Trinidad y Tobago,350425.23
2008,Uganda,125229.48
2008,Venezuela,52795888.91
2008,Yemen,27814.02
2008,Zambia,525762.34
2008,ZFP Cucuta,314600.71
2009,Alemania,405419.83
2009,Antigua y Barbuda,76084.16
2009,Antillas Holandesas,48178.55
2009,Argentina,459301.08
2009,Aruba,99960.63
2009,Australia,14386.88
2009,Barbados,133545.26
2009,Bélgica,1.26
2009,Belice,7386.25
2009,Bolivia,486874.5
2009,Brasil,22602.38
2009,Canadá,1077917.51
2009,Chile,1133304.86
2009,Congo,788182.74
2009,Corea,325151.86
2009,Costa Rica,3017262.77
2009,Cuba,131792.09
2009,Dominica,101535.63
2009,Ecuador,12533441.22
2009,El Salvador,619001.05
2009,Eslovaquia,229641.77
2009,España,6387837.13
2009,Estados Unidos,17717341.94
2009,Fiji,5893.82
2009,Francia,3253.94
2009,Granada,13008.27
2009,Guatemala,264466.45
2009,Guyana,207803.8
2009,Haití,561224.79
2009,Honduras,166316.33
2009,Italia,18770.03
2009,Jamaica,1229842.55
2009,Japón,2449.15
2009,Kenia,159295.73
2009,Líbano,24550.53
2009,Liberia,293115.66
2009,Malawi,35137.94
2009,México,10154382
2009,Mónaco,3121536.72
2009,Mozambique,1406684.91
2009,Nicaragua,18.49
2009,Noruega,40.73
2009,Países Bajos,2707316.12
2009,Panamá,3403540.3
2009,Perú,2792139.03
2009,Polonia,193779.04
2009,Puerto Rico,2446709.69
2009,Reino Unido,71296.65
2009,República Checa,1359.68
2009,República Dominicana ,1094684.42
2009,Rusia,1516955.05
2009,San Cristóbal y Nieves,9383.11
2009,San Vicente y las Granadinas,1026.18
2009,Santa Lucia,182449.42
2009,Siria. República Árabe,915701.18
2009,Sudáfrica,8436698.81
2009,Suecia,1065941.82
2009,Suiza,485521.46
2009,Surinam,210978.07
2009,Tanzania. República Unida de,1091495.35
2009,Trinidad y Tobago,1218515.09
2009,Uganda,753289.08
2009,Venezuela,30827209.54
2009,Yemen,58507.7
2009,Zambia,1380410.52
2009,ZFP Bogotá,9.88
2009,Zimbabwe,984324.29
2010,Alemania,2826436.08
2010,Antigua y Barbuda,80798.96
2010,Antillas Holandesas,66537.85
2010,Argentina,258878.87
2010,Aruba,105550.62
2010,Australia,12781.38
2010,Barbados,184272.32
2010,Bélgica,2353987.79
2010,Belice,28090.16
2010,Bolivia,305064.59
2010,Brasil,2783.45
2010,Cabo Verde,7870.25
2010,Canadá,3686045.08
2010,Chile,1203125.78
2010,Congo,505690.6
2010,Corea,851824.06
2010,Costa Rica,3819564.64
2010,Cuba,360465.62
2010,Dominica,101024.91
2010,Ecuador,15065450.31
2010,El Salvador,1020216.26
2010,Emiratos Árabes Unidos,62695.38
2010,Eslovaquia,19936.69
2010,España,11692165.04
2010,Estados Unidos,21862586.64
2010,Fiji,1999.04
2010,Francia,833.06
2010,Granada,43699.14
2010,Guatemala,165016.51
2010,Guyana,140495.84
2010,Haití,100013.91
2010,Honduras,148950.53
2010,India,2137445.26
2010,Irak,485.85
2010,Israel,6629.18
2010,Italia,128867.33
2010,Jamaica,598064.67
2010,Japón,1167672.02
2010,Kenia,86948.37
2010,Letonia,11735.73
2010,Líbano,39417.54
2010,Liberia,176852.31
2010,Malta,27
2010,México,7642620.51
2010,Mónaco,194683.84
2010,Mozambique,1832094.97
2010,Noruega,115.43
2010,Países Bajos,695599.83
2010,Panamá,3046303.47
2010,Perú,3482504.6
2010,Polonia,18902.64
2010,Portugal,99477.13
2010,Puerto Rico,2025586.69
2010,Reino Unido,205067.52
2010,República Dominicana ,1864040.17
2010,Rusia,3144335.97
2010,San Cristóbal y Nieves,22479.56
2010,San Vicente y las Granadinas,66067.39
2010,Santa Lucia,118235.81
2010,Singapur,1427559.59
2010,Siria. República Árabe,1132617.43
2010,Sudáfrica,3470749.67
2010,Suecia,339084.84
2010,Suiza,2149.01
2010,Surinam,85225.51
2010,Taiwán. Provincia de China,5326.96
2010,Tanzania. República Unida de,1755044.23
2010,Trinidad y Tobago,1303384
2010,Turquía,893670.9
2010,Ucrania,9881.63
2010,Uganda,670856.47
2010,Venezuela,18695224.93
2010,Zambia,86371.1
2010,ZFP Bogotá,4723.61
2010,Zimbabwe,1619052.78
2011,Alemania,1936505.5
2011,Antigua y Barbuda,57979.05
2011,Antillas Holandesas,106559.94
2011,Argentina,340161.49
2011,Aruba,117674.62
2011,Australia,13571.1
2011,Barbados,118267.42
2011,Belarús,14460.97
2011,Bélgica,1031393.76
2011,Belice,8382.34
2011,Bolivia,180071.87
2011,Brasil,125.52
2011,Caimán. Islas,6682.78
2011,Canadá,1946450.26
2011,Chile,1254988.98
2011,Congo,473106.14
2011,Corea,1499743.93
2011,Costa Rica,2493860.11
2011,Cuba,37318.07
2011,Dominica,95212.81
2011,Ecuador,20364396.5
2011,El Salvador,675382.49
2011,España,2759132.71
2011,Estados Unidos,18296612.02
2011,Fiji,16098.2
2011,Francia,39767
2011,Ghana,1675.06
2011,Granada,47075.3
2011,Guatemala,443600.54
2011,Guinea,491.74
2011,Guinea Ecuatorial,6774.31
2011,Guyana,155475.12
2011,Haití,130498.52
2011,Honduras,251234.36
2011,Hungría,59930.86
2011,India,1304864.15
2011,Indonesia,0.89
2011,Israel,10267.91
2011,Jamaica,317059.58
2011,Japón,3095071.92
2011,Kenia,180559.24
2011,Liberia,284925.18
2011,Madagascar,96567.26
2011,Malawi,83512.5
2011,Malta,0.87
2011,México,6214750.35
2011,Mónaco,4168567.35
2011,Mozambique,1060815.26
2011,Noruega,382.35
2011,Países Bajos,1880395.83
2011,Panamá,3114195.35
2011,Perú,4885190.58
2011,Polonia,37205.49
2011,Portugal,65571.86
2011,Puerto Rico,1539382.68
2011,Reino Unido,380181.94
2011,República Dominicana ,1977687.04
2011,Rusia,2885977.27
2011,San Cristóbal y Nieves,9870.94
2011,San Vicente y las Granadinas,27433.86
2011,Santa Lucia,136495.04
2011,Sierra Leona,7854.16
2011,Singapur,398105.39
2011,Siria. República Árabe,1837812.78
2011,Sudáfrica,3030130.9
2011,Suecia,79311.95
2011,Suiza,2187.99
2011,Surinam,180335.3
2011,Tanzania. República Unida de,1567242.93
2011,Trinidad y Tobago,2224074.72
2011,Turquía,652468.96
2011,Uganda,374725.8
2011,Uruguay,2054.1
2011,Venezuela,35508546.17
2011,ZFP Bogotá,74673.08
2011,ZFPE KC Antioquia G.L,7521.55
2011,Zimbabwe,1387410.54
2012,Alemania,258759.04
2012,Antigua y Barbuda,79540.75
2012,Antillas Holandesas,73605.64
2012,Argentina,1309744.66
2012,Aruba,150387.25
2012,Australia,25782.42
2012,Barbados,99089.87
2012,Bélgica,829368.73
2012,Belice,50072.32
2012,Benin,2231.41
2012,Bolivia,34837.29
2012,Canadá,121819.69
2012,Chile,1245079.33
2012,China,78.55
2012,Corea,439274.19
2012,Costa Rica,2608743.06
2012,Cuba,318687.85
2012,Dominica,99143.04
2012,Ecuador,22012137.13
2012,El Salvador,410976.22
2012,Emiratos Árabes Unidos,20085.73
2012,España,2852790.5
2012,Estados Unidos,13364145.53
2012,Fiji,22783.58
2012,Filipinas,4017.82
2012,Francia,30044.75
2012,Ghana,851.59
2012,Granada,40352.06
2012,Guatemala,194783
2012,Guyana,74621.05
2012,Honduras,199251.05
2012,Hungría,57870.34
2012,India,908241.48
2012,Irak,87
2012,Israel,147379.23
2012,Italia,1957775.46
2012,Jamaica,305912.6
2012,Japón,1431027.83
2012,Kenia,237264.16
2012,Líbano,25139.66
2012,Liberia,229764.64
2012,Malasia,4467891.28
2012,Malta,45015.37
2012,México,2102477.94
2012,Mozambique,615233.61
2012,Nigeria,43714.55
2012,Países Bajos,988243.97
2012,Panamá,4324886.15
2012,Perú,4975033.49
2012,Polonia,32935.7
2012,Puerto Rico,956419.04
2012,Reino Unido,508943.43
2012,República Dominicana ,1807737.83
2012,Rusia,1360035.61
2012,San Cristóbal y Nieves,25235.38
2012,San Vicente y las Granadinas,21601.03
2012,Santa Lucia,75519.23
2012,Singapur,401.86
2012,Siria. República Árabe,257078.71
2012,Sudáfrica,3232295.85
2012,Suecia,30666.34
2012,Suiza,2619.24
2012,Surinam,122226.29
2012,Taiwán. Provincia de China,8255.04
2012,Tanzania. República Unida de,1070554.48
2012,Trinidad y Tobago,2215197.17
2012,Turquía,4758506
2012,Uganda,83824.63
2012,Venezuela,34856521.03
2012,Zambia,42093.05
2012,ZFP Barranquilla,105688.69
2012,ZFP Bogotá,156545.45
2012,ZFP Centro Logístico del Pacífico CELPA,136058.65
2012,ZFPE KC Antioquia G.L,12127.72
2012,Zimbabwe,1528916.4
2013,Alemania,1432841.22
2013,Angola,109106.08
2013,Antigua y Barbuda,48388.68
2013,Antillas Holandesas,68537.77
2013,Arabia Saudita,23595.16
2013,Argentina,4665666.66
2013,Aruba,117366.33
2013,Australia,17228.49
2013,Barbados,102032.79
2013,Bélgica,885325.02
2013,Belice,33217.97
2013,Bolivia,50884.39
2013,Brasil,48464.27
2013,Camerún,22703.99
2013,Canadá,1758515.09
2013,Chile,1194018.11
2013,China,465809.31
2013,Corea,1612218.18
2013,Costa Rica,2655133.97
2013,Cuba,359517.05
2013,Dominica,131975.31
2013,Ecuador,23520822.3
2013,El Salvador,314641.09
2013,Emiratos Árabes Unidos,474140.14
2013,España,9259946.61
2013,Estados Unidos,22166495.85
2013,Estonia,885909.96
2013,Fiji,10583.46
2013,Filipinas,7127.41
2013,Francia,7210.94
2013,Gabón,1513.81
2013,Ghana,1343.36
2013,Granada,22074.2
2013,Guatemala,194769.88
2013,Guyana,69038.68
2013,Honduras,169443.61
2013,Hungría,35879.66
2013,India,88456.28
2013,Indonesia,285.62
2013,Israel,43059.63
2013,Italia,2531612.53
2013,Jamaica,258066.85
2013,Japón,586862.45
2013,Kenia,38764.95
2013,Kuwait,2069.32
2013,Líbano,20021.66
2013,Liberia,197668.88
2013,Madagascar,14717.23
2013,Malasia,1842572.56
2013,Mauricio,5358.48
2013,México,15260428.59
2013,Mónaco,2723485.9
2013,Nigeria,6496.51
2013,Noruega,881.08
2013,Nueva Zelandia,69453.16
2013,Países Bajos,2605610.51
2013,Panamá,5223513.91
2013,Paraguay,2566.41
2013,Perú,5159195.97
2013,Polonia,6675.24
2013,Portugal,9332.54
2013,Puerto Rico,1225448.48
2013,Reino Unido,1904366.61
2013,República Dominicana ,494504.34
2013,Rusia,1390936.54
2013,San Cristóbal y Nieves,18686.2
2013,San Vicente y las Granadinas,22658.09
2013,Santa Lucia,94041.14
2013,Sudáfrica,4689496.99
2013,Suecia,13495.42
2013,Suiza,62688.88
2013,Surinam,189678.44
2013,Tanzania. República Unida de,418758.04
2013,Trinidad y Tobago,2201325.47
2013,Uganda,614895.56
2013,Uruguay,131188.2
2013,Venezuela,38913706.75
2013,Zambia,136152.6
2013,ZFP Bogotá,1160509.56
2013,ZFP Cartagena,420843.17
2013,Zimbabwe,107271.68
2014,Alemania,751581
2014,Angola,3263350.81
2014,Antigua y Barbuda,63555.4
2014,Antillas Holandesas,383535.56
2014,Arabia Saudita,6332.75
2014,Argelia,756948.61
2014,Argentina,5487304.07
2014,Aruba,116075.74
2014,Australia,35493.11
2014,Barbados,92926.59
2014,Bélgica,2846656.59
2014,Belice,24698.28
2014,Bolivia,72693.92
2014,Canadá,467787.94
2014,Chile,1771733.03
2014,China,21428.49
2014,Comoras,3471.8
2014,Corea,1680746.9
2014,Costa Rica,2834959.44
2014,Cuba,143081.37
2014,Dominica,185371.04
2014,Ecuador,32915772.3
2014,Egipto,51563.64
2014,El Salvador,323024.6
2014,Emiratos Árabes Unidos,934548.69
2014,España,17238657.36
