anio,pais,exportacion
2006,Alemania,475706475.53
2006,Antigua y Barbuda,2134.92
2006,Antillas Holandesas,124385.79
2006,Arabia Saudita,569129.35
2006,Argentina,2694541.4
2006,Aruba,66178.79
2006,Australia,15651578.17
2006,Austria,9353810.4
2006,Bélgica,184476626.9
2006,Bolivia,43637.84
2006,Brasil,22.6
2006,Bulgaria,2291410.86
2006,Canadá,196975431.5
2006,Chile,2652230.19
2006,China,3523432.9
2006,Corea,56835769.07
2006,Dinamarca,22617753.98
2006,Ecuador,386412.01
2006,Egipto,559447.56
2006,Emiratos Árabes Unidos,1061298.2
2006,Eslovenia,1902395.72
2006,España,92304477.66
2006,Estados Unidos,1252419537.05
2006,Finlandia,73230304.79
2006,Francia,34306840.51
2006,Georgia,109536.25
2006,Gibraltar,81795.12
2006,Grecia,3595183.09
2006,Hong Kong,1385367.1
2006,Hungría,197835.03
2006,Indonesia,529102.11
2006,Irán. República Islámica de,114618.58
2006,Irlanda,4030018.33
2006,Islandia,1008954.52
2006,Israel,21865963.38
2006,Italia,130338186.32
2006,Jamaica,333190.56
2006,Japón,496260505.87
2006,Jordania,1860211.67
2006,Líbano,1462404.52
2006,Malasia,205949.38
2006,Marruecos,5226030.44
2006,México,6750471.12
2006,Mongolia,13843.26
2006,Noruega,42032215.88
2006,Nueva Zelandia,4839411.55
2006,Países Bajos,71002389.87
2006,Países no precisados en otra parte y desconocidos,34213.39
2006,Panamá,12020.46
2006,Perú,71123.94
2006,Polinesia Francesa,140836.6
2006,Polonia,12663244.76
2006,Portugal,6985703.77
2006,Puerto Rico,11825.27
2006,Reino Unido,117493824.78
2006,República Checa,4989762.17
2006,Rumania,6496635.26
2006,Rusia. Federación de,1766539.78
2006,Singapur,736995.02
2006,Siria. República Árabe,7339019.79
2006,Sudáfrica,2736736.13
2006,Suecia,103335960.3
2006,Suiza,5466634.78
2006,Taiwán. Provincia de China,3786573.99
2006,Túnez,109472.56
2006,Venezuela,2834481.6
2006,Vietnam,120229.36
2006,ZFP Barranquilla,3105.11
2006,ZFP Bogotá,1051849.44
2006,ZFP Cartagena,30213.43
2006,ZFP Palmaseca,10306.19
2007,Albania,94897.69
2007,Alemania,492936731.54
2007,Antigua y Barbuda,6.38
2007,Antillas Holandesas,127288.23
2007,Arabia Saudita,1351133.78
2007,Argelia,88947.73
2007,Argentina,2827403.39
2007,Aruba,33911.42
2007,Australia,16656619.88
2007,Austria,4476687.97
2007,Barbados,27678.27
2007,Bélgica,259647987.47
2007,Bolivia,37115.86
2007,Bulgaria,1919333.28
2007,Canadá,178422662.83
2007,Chile,1852160.31
2007,China,2775982.11
2007,Colombia,1071822.59
2007,Corea,62679865.05
2007,Costa Rica,103665.68
2007,Cuba,52.23
2007,Dinamarca,16281420.59
2007,Ecuador,534847.42
2007,Egipto,341855.27
2007,Emiratos Árabes Unidos,778222.26
2007,Eslovenia,1635408.57
2007,España,112151284.08
2007,Estados Unidos,1276537842.43
2007,Estonia,4251428.03
2007,Finlandia,77142695.42
2007,Francia,47971701.44
2007,Gibraltar,162578.48
2007,Granada,12.53
2007,Grecia,4515840.53
2007,Guyana,10.03
2007,Hong Kong,1147078.73
2007,Irlanda,1936328.11
2007,Islandia,1141705.37
2007,Israel,24558568.45
2007,Italia,133315720.33
2007,Japón,443112457.06
2007,Jordania,2648647.81
2007,Letonia,2625475.84
2007,Líbano,1835303.88
2007,Macao,195726.67
2007,Madagascar,217723.77
2007,Marruecos,3608631.44
2007,México,6904892.63
2007,Noruega,54705491.7
2007,Nueva Zelandia,5327195.4
2007,Países Bajos,64228958.72
2007,Panamá,40453.58
2007,Paraguay,12472.94
2007,Perú,382021.93
2007,Polinesia Francesa,131368.26
2007,Polonia,11891751.44
2007,Portugal,9278157.66
2007,Puerto Rico,2189.47
2007,Reino Unido,137040232.32
2007,República Checa,6107449.74
2007,Rumania,6162718.17
2007,Rusia. Federación de,6298914.14
2007,Singapur,615255.36
2007,Siria. República Árabe,4628131.07
2007,Sudáfrica,3622756.89
2007,Suecia,877.128.884.799.999
2007,Suiza,3680135.15
2007,Surinam,1893.14
2007,Taiwán. Provincia de China,3116866.17
2007,Túnez,92572.09
2007,Turquía,640634.18
2007,Venezuela,2183560.08
2007,ZFP Barranquilla,3503.91
2007,ZFP Bogotá,229282.42
2007,ZFP Cartagena,5606.8
2007,ZFP Cucuta,111553.19
2008,Albania,476028.1
2008,Alemania,396834446.72
2008,Antillas Holandesas,181592.99
2008,Arabia Saudita,684416.14
2008,Argentina,3778286.22
2008,Aruba,53130.97
2008,Australia,18135790.57
2008,Austria,1925423.12
2008,Bahrein,157936.6
2008,Barbados,13.93
2008,Bélgica,256688995.8
2008,Bolivia,65742.61
2008,Bulgaria,4284681.38
2008,Canadá,205160579.47
2008,Centroafricana. Republica,115402.78
2008,Chile,2576587.28
2008,China,4018058.38
2008,Colombia,1179079.27
2008,Corea,76879251.4
2008,Corea. República Democrática,138569.22
2008,Costa Rica,19046.57
2008,Croacia,864299.47
2008,Dinamarca,16223574.42
2008,Ecuador,529340.84
2008,Egipto,522250.7
2008,Eslovenia,5471995.18
2008,España,107580033.42
2008,Estados Unidos,1400190348.59
2008,Estonia,3330772.71
2008,Finlandia,80697877.97
2008,Francia,49763840.05
2008,Gibraltar,76378.85
2008,Granada,6370.2
2008,Grecia,4708460.19
2008,Hong Kong,2036131.13
2008,Indonesia,220305.35
2008,Irlanda,1373722.01
2008,Islandia,222430.82
2008,Israel,25898961.15
2008,Italia,139304922.54
2008,Japón,476905720.74
2008,Jordania,4033482.29
2008,Letonia,1818454.49
2008,Líbano,2201833.02
2008,Lituania,1480800.39
2008,Macao,236637.25
2008,Malasia,99238.82
2008,Marruecos,4298282.2
2008,México,6723280.72
2008,Noruega,39740762.78
2008,Nueva Zelandia,6547305.1
2008,Oman,8889.61
2008,Países Bajos,42757022.57
2008,Países no precisados en otra parte y desconocidos,534.54
2008,Panamá,53288.91
2008,Perú,82788.3
2008,Polinesia Francesa,112666.01
2008,Polonia,9624009.98
2008,Portugal,14129557.4
2008,Reino Unido,166267700.87
2008,República Checa,2740884.04
2008,Rumania,5834264.14
2008,Rusia. Federación de,12629913.24
2008,Singapur,1714740.19
2008,Siria. República Árabe,7512421.4
2008,Sudáfrica,9594105.15
2008,Suecia,91777481.48
2008,Suiza,3049909.08
2008,Taiwán. Provincia de China,3791714.81
2008,Territorio autónomos de Palestina,99201.68
2008,Turquía,654357.66
2008,Uruguay,40410.77
2008,Venezuela,3580476.69
2008,Yugoslavia,101214.97
2008,ZFP Bogotá,126128.55
2008,ZFP Cartagena,22841.16
2008,ZFPE BIO D,29174.68
2009,Alemania,194121404.4
2009,Antigua y Barbuda,2648.14
2009,Antillas Holandesas,213369.38
2009,Arabia Saudita,589711.72
2009,Argentina,3756743.59
2009,Aruba,118571.24
2009,Australia,18784096.19
2009,Barbados,3422.71
2009,Bélgica,221987158.14
2009,Bulgaria,2973349.72
2009,Canadá,216308958.39
2009,Chile,2890181.24
2009,China,1080850.64
2009,Colombia,530825.09
2009,Corea,103103657.35
2009,Dinamarca,8852944.22
2009,Ecuador,2038571.81
2009,Egipto,1317505.23
2009,Emiratos Árabes Unidos,254854.07
2009,Eslovenia,3723706.63
2009,España,87515131.58
2009,Estados Unidos,1466177777.47
2009,Estonia,2239523.39
2009,Feroe. Islas,160968.81
2009,Fiji,161889.52
2009,Finlandia,38400770.54
2009,Francia,73924708.7
2009,Georgia,172602.77
2009,Gibraltar,114557.65
2009,Grecia,4287081.34
2009,Hong Kong,2105978.48
2009,Irlanda,697401.27
2009,Islandia,1490873.86
2009,Israel,10385795.63
2009,Italia,72797931.07
2009,Japón,545694327.12
2009,Jordania,3063114.92
2009,Letonia,2503930.94
2009,Líbano,1873752.39
2009,Libia,159620.13
2009,Malasia,311492.18
2009,Marruecos,2795933.65
2009,México,7297483.01
2009,Montserrat,129396.53
2009,Noruega,38468557.86
2009,Nueva Zelandia,9933221.39
2009,Países Bajos,17851722.12
2009,Panamá,90824.44
2009,Perú,551966.01
2009,Polonia,2017401.4
2009,Portugal,5002516.31
2009,Reino Unido,126728691.9
2009,República Checa,686624.48
2009,República Dominicana ,227.68
2009,Reunión,140293.99
2009,Rumania,695876.53
2009,Rusia. Federación de,6269168.83
2009,Santa Lucia,2878.3
2009,Singapur,1440488.41
2009,Siria. República Árabe,6984934.71
2009,Sudáfrica,4021583.29
2009,Suecia,85646105.49
2009,Suiza,626400.98
2009,Taiwán. Provincia de China,4261045.52
2009,Turquía,296034.98
2009,Vietnam,128505.03
2009,ZFP Bogotá,668595.74
2009,ZFP Cartagena,20198.49
2009,ZFP Palmaseca,3799.41
2009,ZFP Parque Industrial Dexton,142979.28
2009,ZFPE BIO D,118227.11
2010,Albania,60.08
2010,Alemania,150134593.69
2010,Antigua y Barbuda,835.06
2010,Antillas Holandesas,176546.17
2010,Arabia Saudita,169730.29
2010,Argentina,2957319.15
2010,Aruba,70930.25
2010,Australia,26553513.78
2010,Barbados,218.79
2010,Bélgica,285499448.01
2010,Brasil,94.17
2010,Canadá,282390664.33
2010,Chile,4077147.07
2010,China,1347211.8
2010,Corea,125250795.13
2010,Costa Rica,11437.08
2010,Croacia,169676.81
2010,Dinamarca,5848246.23
2010,Ecuador,1204200.02
2010,Egipto,531129.68
2010,El Salvador,16701.77
2010,Emiratos Árabes Unidos,172959.45
2010,Eslovenia,3843132.46
2010,España,986.259.361.299.999
2010,Estados Unidos,1445493448.24
2010,Estonia,1822215.78
2010,Finlandia,57768300.15
2010,Francia,58282339.71
2010,Georgia,329146.93
2010,Granada,5329.22
2010,Grecia,2052376.67
2010,Hong Kong,2562684.17
2010,Indonesia,330763.36
2010,Irak,10527.5
2010,Irlanda,2471647.27
2010,Islandia,651915.68
2010,Israel,13315118.19
2010,Italia,53104165.59
2010,Japón,708116567.26
2010,Jordania,3624330.46
2010,Letonia,1421174.75
2010,Líbano,2188582.93
2010,Malasia,1263225.15
2010,Marruecos,2509678.13
2010,México,5089613.75
2010,Noruega,59940997.58
2010,Nueva Zelandia,7352247.87
2010,Países Bajos,10752455.72
2010,Perú,26514.71
2010,Polonia,1164582.7
2010,Portugal,1889313.98
2010,Reino Unido,121657438.34
2010,República Checa,621753.86
2010,Rumania,494700.14
2010,Rusia. Federación de,4302010.41
2010,Santa Lucia,7176.98
2010,Singapur,1013441.77
2010,Siria. República Árabe,3931131.97
2010,Sudáfrica,3981203.32
2010,Suecia,61302454.97
2010,Suiza,598708.05
2010,Taiwán. Provincia de China,5874302.39
2010,Turquía,170291.15
2010,ZFP Bogotá,1145273.04
2010,ZFP Cartagena,9646.65
2010,ZFP Cucuta,15517.38
2010,ZFP Pacifico,53523.23
2010,ZFP Palmaseca,29872.87
2011,Albania,57428.23
2011,Alemania,255810320.34
2011,Antillas Holandesas,365992.88
2011,Arabia Saudita,2067646.87
2011,Argentina,5005979.76
2011,Aruba,89241.29
2011,Australia,38196361.01
2011,Austria,5698.08
2011,Barbados,867.86
2011,Bélgica,413940399.87
2011,Bolivia,1672.6
2011,Brasil,608.64
2011,Canadá,339309858.72
2011,Chile,3675667.14
2011,China,3965408.4
2011,Corea,180554455.91
2011,Costa Rica,108112.66
2011,Croacia,1497565.08
2011,Dinamarca,11305029.72
2011,Ecuador,1965836.03
2011,Egipto,987196.16
2011,El Salvador,169833.65
2011,Emiratos Árabes Unidos,410775.83
2011,Eslovenia,3382080.93
2011,España,167085628.27
