anio,pais,exportacion
2006,Alemania,91.74
2006,Antillas Holandesas,2268.34
2006,Chile,137.32
2006,Corea,41978.77
2006,España,30580.91
2006,Estados Unidos,44449.39
2006,Martinica,36417.64
2006,Puerto Rico,324239.64
2006,Rusia. Federación de,3085.16
2007,Antillas Holandesas,8969.23
2007,Canadá,111.45
2007,España,3152.78
2007,Estados Unidos,69467.57
2007,Japón,13.57
2007,Líbano,34578.72
2007,México,1.96
2007,Panamá,343.59
2007,Puerto Rico,193141.28
2007,Rusia. Federación de,3464.14
2008,Antillas Holandesas,13509.8
2008,Aruba,520.39
2008,Corea,11041.41
2008,España,63530.56
2008,Estados Unidos,1765680.44
2008,Países no precisados en otra parte y desconocidos,133.63
2008,Panamá,31.65
2008,Puerto Rico,107177.38
2008,Rusia. Federación de,7705.62
2009,España,189134.24
2009,Estados Unidos,1861032.07
2009,Italia,20115.22
2009,Puerto Rico,415145.88
2009,Rusia. Federación de,2487.8
2010,Canadá,0.1
2010,España,81949.57
2010,Estados Unidos,18147.45
2010,Puerto Rico,12.65
2010,Rusia. Federación de,7918.67
2011,Aruba,781.51
2011,Bermudas,56595.72
2011,España,2388.12
2011,Estados Unidos,777623.54
2011,Italia,14131.15
2011,Puerto Rico,91227.48
2011,Rusia. Federación de,11964.64
2011,Suecia,1281.3
2012,Australia,2908.01
2012,Bermudas,60321.88
2012,Chile,2.61
2012,Estados Unidos,758811.79
2012,Reino Unido,315.7
2012,Suecia,534.87
2013,Antillas Holandesas,30774.65
2013,Australia,21343.71
2013,Canadá,9.58
2013,España,4317.54
2013,Estados Unidos,952819.56
2013,Reino Unido,15958.43
2013,Rusia. Federación de,14641.92
2014,Alemania,25.67
2014,Australia,13690.75
2014,Canadá,7245.04
2014,España,1149.18
2014,Estados Unidos,861547.08
2014,Puerto Rico,181056.66
2014,Reino Unido,85114.12
2014,Suecia,840.42
2015,Alemania,57.81
2015,Australia,10796.85
2015,Canadá,524.67
2015,Chile,408.46
2015,Emiratos Árabes Unidos,5.03
2015,España,6407.68
2015,Estados Unidos,1282331.97
2015,Reino Unido,116634.29
2015,Rusia. Federación de,13552.13
2015,Suecia,1189.02
2016,Aruba,3257.34
2016,Brasil,697.59
2016,Chile,9853.66
2016,Colombia,186.39
2016,Corea,341.11
2016,Estados Unidos,1122396.08
2016,Panamá,30.27
2016,Reino Unido,64221.88
2016,Rusia. Federación de,3560.6
2017,Aruba,461.64
2017,Colombia,1697.47
2017,Costa Rica,474.91
2017,España,6661.2
2017,Estados Unidos,524956.56
2017,Panamá,218.07
2017,Perú,58.38
2017,Reino Unido,41696.4
2017,ZFPE KC Antioquia G.L,115.08
