anio,pais,importacion
2006,Alemania,72472.94
2006,Argentina,3393269.78
2006,Australia,139936.04
2006,Austria,12193.52
2006,Bélgica,131971.18
2006,Brasil,6543098.26
2006,Chile,1610935.46
2006,China,375419.81
2006,Colombia,35859.66
2006,Costa Rica,69297.51
2006,Ecuador,22240305.73
2006,España,1545216.14
2006,Estados Unidos,4528064.16
2006,Francia,121378.05
2006,Hong Kong,142936.65
2006,Hungría,56307.26
2006,Indonesia,19771641.54
2006,Italia,2152660.22
2006,México,1692988.29
2006,Países Bajos,424501.02
2006,Perú,6428301.95
2006,Reino Unido,218619.77
2006,Suiza,1037750.91
2006,Trinidad y Tobago,487724.43
2006,Turquía,1068090.65
2006,Venezuela,818763.71
2007,Alemania,720730.73
2007,Argentina,3451101.81
2007,Australia,287828.93
2007,Austria,26255.52
2007,Bélgica,162645.51
2007,Brasil,7826286.18
2007,Canadá,85918.28
2007,Chile,1786048.24
2007,China,1904506.34
2007,Colombia,720.91
2007,Costa Rica,38.8
2007,Ecuador,17376107.84
2007,España,1356452.45
2007,Estados Unidos,4256978.14
2007,Francia,164051.05
2007,Hong Kong,333254.2
2007,Hungría,114949.74
2007,Indonesia,47172136.98
2007,Italia,2328253.91
2007,Líbano,178.01
2007,Malasia,1410.05
2007,México,1115448.76
2007,Países Bajos,427056.89
2007,Pakistán,563784.29
2007,Perú,2149321.52
2007,Reino Unido,156723.36
2007,República Dominicana ,37106.17
2007,Suiza,833295.67
2007,Trinidad y Tobago,819950.05
2007,Turquía,1028897.38
2007,Venezuela,342795.27
2008,Afganistán,104896.63
2008,Alemania,213625.04
2008,Argentina,3743362.77
2008,Austria,134167.31
2008,Bélgica,303823.76
2008,Bolivia,60098.91
2008,Brasil,5299653.27
2008,Canadá,533710.57
2008,Chile,2677184.37
2008,China,2209139.89
2008,Colombia,7131.07
2008,Dinamarca,3
2008,Ecuador,37652419.54
2008,España,1550805.1
2008,Estados Unidos,6048198
2008,Francia,625068.28
2008,Ghana,1485.41
2008,Hong Kong,1093561.39
2008,Hungría,65605.2
2008,Indonesia,1735298.85
2008,Italia,2708341.3
2008,Malasia,2904.96
2008,México,1269315.5
2008,Países Bajos,311520.73
2008,Pakistán,200197.3
2008,Perú,5511594.88
2008,Reino Unido,47585.46
2008,República Dominicana ,1605592.14
2008,Suiza,1144071.72
2008,Trinidad y Tobago,1233220.66
2008,Turquía,766968.75
2008,Venezuela,4966077.6
2009,Alemania,284487.88
2009,Argentina,4244454.78
2009,Australia,31621.07
2009,Austria,89318.98
2009,Bélgica,192190.14
2009,Brasil,5466727.43
2009,Canadá,408664.08
2009,Chile,1539122.86
2009,China,2423199.33
2009,Ecuador,31838628.08
2009,España,1745251.72
2009,Estados Unidos,6341350.27
2009,Francia,333847.1
2009,Hong Kong,891197.09
2009,Hungría,22664.49
2009,Indonesia,24359.1
2009,Italia,2485473.36
2009,Malasia,7203.06
2009,México,2070670.05
2009,Países Bajos,69022.68
2009,Pakistán,83696.68
2009,Perú,11364564.26
2009,Reino Unido,17830.92
2009,República Dominicana ,1047347.12
2009,Rumania,12910.86
2009,Suiza,1439772.12
2009,Trinidad y Tobago,987316.49
2009,Turquía,1098985.12
2009,Venezuela,7621446.98
2010,Alemania,486069.44
2010,Antillas Holandesas,21874.58
2010,Argentina,2543264.92
2010,Austria,111713.96
2010,Bélgica,436788.63
2010,Brasil,11003941.77
2010,Canadá,420505.5
2010,Chile,1661770.73
2010,China,13955732.9
2010,Colombia,12873.65
2010,Ecuador,53198400.45
2010,España,1997391.53
2010,Estados Unidos,6605498.9
2010,Francia,936375.7
2010,Guatemala,53710.28
2010,Hong Kong,394710.05
2010,Hungría,36448.02
2010,Indonesia,2958742.72
2010,Italia,2743748.47
2010,Malasia,17197.41
2010,México,8710455.76
2010,Países Bajos,24425.91
2010,Perú,15150593.86
2010,Reino Unido,21946.89
2010,República Dominicana ,2910159.79
2010,Reunión,186319.83
2010,Rumania,97568.98
2010,Suecia,198292.57
2010,Suiza,1213173.39
2010,Tokelau,28480.91
2010,Trinidad y Tobago,1013798.64
2010,Turquía,1886347.47
2010,Uruguay,1180.69
2010,Venezuela,2438628.5
2011,Alemania,524301.87
2011,Argentina,2753909.39
2011,Austria,111693.97
2011,Bélgica,699705.21
2011,Brasil,11736929.91
2011,Canadá,369140.02
2011,Chile,1822687.39
2011,China,32211389.39
2011,Colombia,19419.64
2011,Dinamarca,28250.94
2011,Ecuador,55427352.5
2011,España,2494562.18
2011,Estados Unidos,8477635.52
2011,Francia,910619.83
2011,Guatemala,57412.77
2011,Hungría,16328.09
2011,Indonesia,247430.73
2011,Italia,3005320.9
2011,Malasia,89533.4
2011,México,7273367.29
2011,Países Bajos,50743.29
2011,Panamá,4742.67
2011,Perú,30949293.26
2011,Polonia,123762.63
2011,Reino Unido,22981.36
2011,República Checa,47487.08
2011,Singapur,188948.78
2011,Suiza,2024522.04
2011,Taiwán,91449.5
2011,Trinidad y Tobago,988915.28
2011,Turquía,3429014.47
2011,Uruguay,24034.48
2012,Alemania,712523.91
2012,Argentina,3088485.19
2012,Bélgica,772356.12
2012,Brasil,18318494.05
2012,Canadá,282052.11
2012,Chile,1935714.94
2012,China,25097047.73
2012,Costa Rica,17804.03
2012,Dinamarca,43935.15
2012,Ecuador,34609985.42
2012,España,3819633.34
2012,Estados Unidos,15757293.04
2012,Francia,1125730.59
2012,Guatemala,59480.18
2012,Hungría,42344.37
2012,Indonesia,80424.55
2012,Israel,1017.51
2012,Italia,4353320.01
2012,Líbano,3623.44
2012,Malasia,89045.79
2012,México,9100102.2
2012,Nigeria,136660.51
2012,Países Bajos,194613.6
2012,Perú,5981817.76
2012,Reino Unido,25213.95
2012,República Dominicana ,118960.34
2012,Suiza,1918210.93
2012,Trinidad y Tobago,1295030.6
2012,Turquía,4521698.45
2012,Venezuela,122940.81
2013,Alemania,768267.31
2013,Argentina,4579450.27
2013,Austria,13411.01
2013,Bélgica,943833.14
2013,Brasil,14252107.49
2013,Canadá,286162.24
2013,Chile,1538463.78
2013,China,3714417.09
2013,Costa Rica,189299.96
2013,Dinamarca,17247.9
2013,Ecuador,26382106.68
2013,El Salvador,145537.88
2013,España,3625376.37
2013,Estados Unidos,30364861.78
2013,Francia,724169.84
2013,India,100014.18
2013,Indonesia,69110.4
2013,Italia,6210751.19
2013,Japón,44612.24
2013,Líbano,705.89
2013,Malasia,609.627.399.999.999
2013,México,8895616.96
2013,Nigeria,197489.15
2013,Países Bajos,118306.71
2013,Perú,4977483.15
2013,Polonia,9188.79
2013,Reino Unido,161297.12
2013,República Dominicana ,702059.2
2013,Suiza,3575061.98
2013,Taiwán,58.4
2013,Trinidad y Tobago,1271763.7
2013,Turquía,2659833.14
2013,Venezuela,1060217.87
2014,Alemania,1909878.24
2014,Argentina,4805065.82
2014,Austria,46282.09
2014,Bélgica,1834554.35
2014,Brasil,15528627.11
2014,Canadá,506134.57
2014,Chile,1681517.15
2014,China,3774219.32
2014,Colombia,154155.57
2014,Costa Rica,319970.95
2014,Dinamarca,15673.41
2014,Ecuador,47704166.25
2014,España,3857413.65
2014,Estados Unidos,38647435.92
