anio,mes,departamento,cantidadunidades,valormilespesos,toneladas
2006,Abril,Antioquia,3000,16863.55,3
2006,Abril,Antioquia,3560,19656.22,3.56
2006,Abril,Antioquia,4542.72,38710.21,4.54
2006,Abril,Antioquia,3713.96,32513.38,3.71
2006,Abril,Antioquia,216,3096.9,0.22
2006,Abril,Antioquia,146,1917.63,0.15
2006,Abril,Antioquia,643.2,14758.68,0.64
2006,Abril,Antioquia,9929.09,92879.13,9.93
2006,Abril,Antioquia,100000,899901.31,100
2006,Abril,Antioquia,25319.54,231689.24,25.32
2006,Abril,Antioquia,16939.99,130500.6,16.94
2006,Abril,Antioquia,6788,59219.15,6.79
2006,Abril,Antioquia,5854.16,124967.53,5.85
2006,Abril,Antioquia,1981.6,36290.37,1.98
2006,Abril,Antioquia,1814.4,15683.41,1.81
2006,Abril,Antioquia,21888.72,172790.29,21.89
2006,Abril,Antioquia,8340,31965.84,8.34
2006,Abril,Antioquia,954.72,6612.99,0.95
2006,Abril,Antioquia,1512,12966.65,1.51
2006,Abril,Antioquia,450,5581.3,0.45
2006,Abril,Antioquia,19440,77012.49,19.44
2006,Abril,Antioquia,576,3802.47,0.58
2006,Abril,Antioquia,7484.4,56189.82,7.48
2006,Abril,Antioquia,57453.6,312611.33,57.45
2006,Abril,Antioquia,2917.44,29587.08,2.92
2006,Abril,Antioquia,136548.86,1203587.45,136.55
2006,Abril,Antioquia,42678.88,251241.28,42.68
2006,Abril,Antioquia,352,5296.14,0.35
2006,Abril,Antioquia,180,679.34,0.18
2006,Abril,Antioquia,38510.8,189365.82,38.51
2006,Abril,Antioquia,9100,38758.29,9.1
2006,Abril,Antioquia,10211.94,98747.17,10.21
2006,Abril,Antioquia,32708.33,287225.83,32.71
2006,Abril,Antioquia,2994.36,27823.48,2.99
2006,Agosto,Antioquia,1411.2,10621.76,1.41
2006,Agosto,Antioquia,14945.6,67796.82,14.95
2006,Agosto,Antioquia,1440,14466.58,1.44
2006,Agosto,Antioquia,1120,14439.35,1.12
2006,Agosto,Antioquia,17539.2,355388.05,17.54
2006,Agosto,Antioquia,679.68,5020.75,0.68
2006,Agosto,Antioquia,2680,12998.26,2.68
2006,Agosto,Antioquia,11700,89273.46,11.7
2006,Agosto,Antioquia,4976.72,60667.39,4.98
2006,Agosto,Antioquia,53265.6,517255.64,53.27
2006,Agosto,Antioquia,2720,24109.63,2.72
2006,Agosto,Antioquia,1546.8,29087.91,1.55
2006,Agosto,Antioquia,1840,23618.24,1.84
2006,Agosto,Antioquia,15230.39,376742.14,15.23
2006,Agosto,Antioquia,5400,21156.62,5.4
2006,Agosto,Antioquia,15847.47,185188.84,15.85
2006,Agosto,Antioquia,117142.3,652969,117.14
2006,Agosto,Antioquia,1908,11946.1,1.91
2006,Agosto,Antioquia,8893.5,163581.17,8.89
2006,Agosto,Antioquia,118644.28,1076598.49,118.64
2006,Agosto,Antioquia,61165,336301.16,61.16
2006,Agosto,Antioquia,47,626.15,0.05
2006,Agosto,Antioquia,500,2674.31,0.5
2006,Agosto,Antioquia,62931,290135.13,62.93
2006,Agosto,Antioquia,2000,11159.98,2
2006,Agosto,Antioquia,1475.84,20134.96,1.48
2006,Agosto,Antioquia,98132.93,859370.39,98.13
