anio,mes,departamento,cantidadunidades,valormilespesos,toneladas
2006,Abril,Antioquia,134229,746813.01,134.23
2006,Abril,Antioquia,1136649,6715198.86,1136.65
2006,Abril,Antioquia,1050,13203.12,1.05
2006,Abril,Antioquia,143187,821328.94,143.19
2006,Abril,Antioquia,305423,1781503.06,305.42
2006,Abril,Antioquia,104861,648234.52,104.86
2006,Abril,Antioquia,57593,337221.33,57.59
2006,Abril,Antioquia,6600,65101.82,6.6
2006,Abril,Antioquia,1685213,9726421.61,1685.21
2006,Abril,Antioquia,10889,139702.57,10.89
2006,Abril,Antioquia,355962,1982237.09,355.96
2006,Abril,Antioquia,160571,917885.23,160.57
2006,Abril,Antioquia,10600,107230.6,10.6
2006,Abril,Antioquia,19929,120394.16,19.93
2006,Abril,Antioquia,288504,1614845.52,288.5
2006,Abril,Antioquia,53894,327419.07,53.89
2006,Abril,Antioquia,19950,116980.38,19.95
2006,Abril,Antioquia,104540,604349.92,104.54
2006,Abril,Antioquia,134415,758926.85,134.41
2006,Abril,Antioquia,522527,2899998.73,522.53
2006,Abril,Antioquia,610,9208.71,0.61
2006,Abril,Antioquia,200813,1188250.49,200.81
2006,Abril,Antioquia,104739,684300.22,104.74
2006,Abril,Antioquia,671552,3893378.37,671.55
2006,Abril,Antioquia,1673,16674.69,1.67
2006,Abril,Antioquia,267465,1555335.59,267.46
2006,Abril,Antioquia,3020,25343.41,3.02
2006,Abril,Antioquia,232326,1348392.7,232.33
2006,Abril,Antioquia,313930,1771288.63,313.93
2006,Abril,Antioquia,21547,132138.59,21.55
2006,Abril,Antioquia,104663,634489.26,104.66
2006,Abril,Antioquia,6750,64096.38,6.75
2006,Abril,Atlántico,17512,111624.76,17.51
2006,Abril,Atlántico,4180,46474.68,4.18
2006,Abril,Atlántico,17526,116182.58,17.53
2006,Abril,Bogotá,19211,113525.71,19.21
2006,Abril,Bogotá,105033,650648.85,105.03
2006,Abril,Bogotá,115552,696688,115.55
2006,Abril,Bogotá,20969,120358.32,20.97
2006,Abril,Bogotá,215586,1208967.08,215.59
2006,Abril,Bogotá,99854,582213.82,99.85
2006,Abril,Bogotá,1758,25185.64,1.76
2006,Abril,Bogotá,578905,3351345.01,578.9
2006,Abril,Bogotá,167680,956639.13,167.68
2006,Abril,Bogotá,84120,489618.48,84.12
2006,Abril,Bogotá,93691,540096.51,93.69
2006,Abril,Bogotá,620380,3514173.71,620.38
2006,Abril,Bogotá,71479,450418.38,71.48
2006,Abril,Bogotá,19907,120358.8,19.91
2006,Abril,Bogotá,17431,99795.21,17.43
2006,Abril,Bogotá,19184,109648.15,19.18
2006,Abril,Bogotá,20906,125516.62,20.91
2006,Abril,Bogotá,38354,217579.15,38.35
2006,Abril,Bogotá,3598.56,46876.27,3.6
2006,Abril,Bogotá,3941.28,51340.68,3.94
2006,Abril,Bogotá,324,7219.63,0.32
2006,Abril,Bogotá,52500,295800.5,52.5
2006,Abril,Bogotá,261649,1582656.04,261.65
2006,Abril,Bogotá,330,2490,0.33
2006,Abril,Bogotá,300,5960.42,0.3
2006,Abril,Bogotá,1460,18793.95,1.46
2006,Abril,Caldas,105028,602483.35,105.03
2006,Abril,Caldas,19272,103942.85,19.27
2006,Abril,Caldas,306469,1723115.41,306.47
2006,Abril,Caldas,285875,1600407.91,285.88
2006,Abril,Caldas,40867,227310.11,40.87
2006,Abril,Caldas,38543,235246.37,38.54
2006,Abril,Caldas,153999,903186.7,154
2006,Abril,Caldas,212111,1160924.54,212.11
2006,Abril,Caldas,19230,115876.97,19.23
2006,Abril,Caldas,52536,348217.56,52.54
2006,Abril,Caldas,42020,273189.12,42.02
2006,Abril,Caldas,216964,899839.2,216.96
2006,Abril,Caldas,378,417.72,0.38
2006,Abril,Caldas,356878,2033063.09,356.88
2006,Abril,Caldas,19250,107117.35,19.25
2006,Abril,Caldas,374149,2225030.45,374.15
2006,Abril,Caldas,42678,241650.19,42.68
2006,Abril,Caldas,56606,309771.88,56.61
2006,Abril,Caldas,70000,422681.76,70
2006,Abril,Caldas,775525,4445242.67,775.52
2006,Abril,Caldas,34934,199486.55,34.93
2006,Abril,Caldas,947244,5441598.84,947.24
2006,Abril,Caldas,17500,395167.45,17.5
2006,Abril,Caldas,19256,106801.38,19.26
2006,Abril,Cauca,19047,105080.44,19.05
2006,Abril,Cauca,2154,15850.33,2.15
2006,Abril,Cauca,40228,280123.88,40.23
2006,Abril,Cauca,38521,230097.73,38.52
2006,Abril,Cauca,96275,509810.69,96.28
2006,Abril,Cauca,83945,462444.52,83.94
2006,Abril,Cauca,36740,230028.49,36.74
2006,Abril,Cauca,292249,1878260.98,292.25
2006,Abril,Cundinamarca,1340,17686.01,1.34
2006,Abril,Cundinamarca,5020,67731.97,5.02
2006,Abril,Cundinamarca,300,3821.11,0.3
2006,Abril,Huila,41965,244428.96,41.97
2006,Abril,Huila,3997,21852.79,4
2006,Abril,Huila,76853,455784.7,76.85
2006,Abril,Huila,239157,1405409.56,239.16
2006,Abril,Huila,155328,885384.65,155.33
2006,Abril,Huila,272998,1501218.27,273
2006,Abril,Huila,76788,480260.08,76.79
2006,Abril,Huila,21024,121338.42,21.02
2006,Abril,Huila,15532,112990.09,15.53
2006,Abril,Huila,80791,460076.02,80.79
2006,Abril,Huila,41947,248735.63,41.95
2006,Abril,Huila,150360,889877.42,150.36
2006,Abril,Huila,19272,117927.92,19.27
2006,Abril,Huila,71802,401904.39,71.8
2006,Abril,Huila,19270,112333.06,19.27
2006,Abril,Huila,1168958,7067620.82,1168.96
2006,Abril,Huila,929925,5356542.47,929.92
2006,Abril,Huila,190489,1208589.11,190.49
2006,Abril,Huila,19257,105729.9,19.26
2006,Abril,Huila,161361,1024252.88,161.36
2006,Abril,Magdalena,145389,815844.28,145.39
2006,Abril,Magdalena,19936,120662.13,19.94
2006,Abril,Magdalena,62046,356886.39,62.05
2006,Abril,Magdalena,252177,1489045.85,252.18
2006,Abril,Magdalena,105000,561144.22,105
2006,Abril,Magdalena,192517,1402939.45,192.52
2006,Abril,Magdalena,528503,3290847.63,528.5
2006,Abril,Nariño,34933,245677.95,34.93
2006,Abril,Nariño,434620,2870221.75,434.62
2006,Abril,Nariño,69998,364326.93,70
2006,Abril,Norte de Santander,115478,636573.74,115.48
2006,Abril,Norte de Santander,192387,1088280.67,192.39
2006,Abril,Norte de Santander,18089,124274.73,18.09
2006,Abril,Norte de Santander,17491,99451.93,17.49
2006,Abril,Quindío,4500,69912.23,4.5
2006,Abril,Quindío,1500,25258.16,1.5
2006,Abril,Quindío,20957,118789.39,20.96
2006,Abril,Quindío,59441,389985.45,59.44
2006,Abril,Quindío,19946,118886.56,19.95
2006,Abril,Quindío,59810,331324.91,59.81
2006,Abril,Quindío,210735,1248955.14,210.74
2006,Abril,Quindío,403003,2277379.35,403
2006,Abril,Quindío,18913,111900.83,18.91
2006,Abril,Quindío,555433,3219702.44,555.43
2006,Abril,Quindío,19283,103437.8,19.28
2006,Abril,Quindío,77501,469736.21,77.5
2006,Abril,Quindío,55070,330830.58,55.07
2006,Abril,Quindío,38586,270935.7,38.59
2006,Abril,Quindío,77130,429564.47,77.13
2006,Abril,Quindío,209995,1305691.67,210
2006,Abril,Risaralda,188816,1105423.62,188.82
2006,Abril,Risaralda,192559,1146874.39,192.56
2006,Abril,Risaralda,37067,210781.57,37.07
2006,Abril,Risaralda,19902,109460.37,19.9
2006,Abril,Risaralda,59845,345672.58,59.84
2006,Abril,Risaralda,9,70.34,0.01
2006,Abril,Risaralda,1603,16028.57,1.6
2006,Abril,Risaralda,24.05,202.58,0.02
2006,Abril,Risaralda,810408,4588579.55,810.41
2006,Abril,Risaralda,39810,219476.96,39.81
2006,Abril,Risaralda,59885,361532.64,59.88
2006,Abril,Risaralda,19919,114690.31,19.92
2006,Abril,Risaralda,38472,216002.56,38.47
2006,Abril,Risaralda,142575,823388.81,142.57
2006,Abril,Risaralda,41947,244338.9,41.95
2006,Abril,Risaralda,628047,3605703.55,628.05
2006,Abril,Risaralda,35045,216518.99,35.05
2006,Abril,Risaralda,134559,775980.02,134.56
2006,Abril,Risaralda,84040,454222.88,84.04
2006,Abril,Risaralda,39975,233541.85,39.98
2006,Abril,Risaralda,19250,116518.97,19.25
2006,Abril,Risaralda,2341222,13827710.15,2341.22
2006,Abril,Risaralda,75245,443599.06,75.25
2006,Abril,Risaralda,19566,117363.95,19.57
2006,Abril,Risaralda,406255,2240638.77,406.25
2006,Abril,Risaralda,38466,223078.26,38.47
2006,Abril,Risaralda,96124,590905.54,96.12
2006,Abril,Risaralda,41937,239193.71,41.94
2006,Abril,Risaralda,19242,112445.7,19.24
2006,Abril,Risaralda,19273,109052.07,19.27
2006,Abril,Santander,76886,454351.02,76.89
2006,Abril,Santander,272503,1545864.79,272.5
2006,Abril,Santander,19223,127966.32,19.22
2006,Abril,Santander,37364,214347.48,37.36
2006,Abril,Santander,97247,568987.63,97.25
2006,Abril,Santander,622954,3938015.09,622.95
2006,Abril,Santander,39759,256730.23,39.76
2006,Abril,Santander,158941,895156.55,158.94
2006,Abril,Santander,176086,1189550.59,176.09
2006,Abril,Santander,124291,710172.46,124.29
2006,Abril,Santander,19198,124402.96,19.2
2006,Abril,Santander,38419,250569.63,38.42
2006,Abril,Santander,104872,570423.57,104.87
2006,Abril,Santander,76914,435890.24,76.91
2006,Abril,Santander,69762,468530.92,69.76
2006,Abril,Tolima,38528,231947.36,38.53
2006,Abril,Tolima,42000,241318.56,42
2006,Abril,Tolima,77033,456405.32,77.03
2006,Abril,Tolima,40229,242743.02,40.23
2006,Abril,Tolima,83833,441978.64,83.83
2006,Abril,Tolima,76951,433105.83,76.95
2006,Abril,Tolima,139577,813388.57,139.58
2006,Abril,Tolima,19149,120919.44,19.15
2006,Abril,Tolima,62791,345336.67,62.79
2006,Abril,Tolima,19189,120216.96,19.19
2006,Abril,Tolima,100844,594003.95,100.84
2006,Abril,Tolima,168040,964974.75,168.04
2006,Abril,Tolima,76679,449085.3,76.68
2006,Abril,Tolima,28018,151363.08,28.02
2006,Abril,Tolima,19237,111857.71,19.24
2006,Abril,Tolima,882395,5439679.82,882.39
2006,Abril,Tolima,99678,556599.19,99.68
2006,Abril,Tolima,607995,3801916.39,608
2006,Abril,Tolima,17505,97704.16,17.5
2006,Abril,Tolima,83940,463762.78,83.94
2006,Abril,Tolima,127913,753031.24,127.91
2006,Abril,Tolima,19221,112957.53,19.22
2006,Abril,Valle del Cauca,104747,644261.51,104.75
2006,Abril,Valle del Cauca,62849,362728.22,62.85
2006,Abril,Valle del Cauca,19891,120049.6,19.89
2006,Abril,Valle del Cauca,411685,2355631.56,411.69
2006,Abril,Valle del Cauca,198350,1137506.16,198.35
2006,Abril,Valle del Cauca,19874,116732.11,19.87
2006,Abril,Valle del Cauca,273149,1560327.78,273.15
2006,Abril,Valle del Cauca,19180,104765.31,19.18
2006,Abril,Valle del Cauca,502995,3087555.7,503
2006,Abril,Valle del Cauca,20975,137764.08,20.98
2006,Abril,Valle del Cauca,196058,1150843.58,196.06
2006,Abril,Valle del Cauca,305594,1716483.24,305.59
2006,Abril,Valle del Cauca,85289,518601.16,85.29
2006,Abril,Valle del Cauca,403529,2426782.35,403.53
2006,Abril,Valle del Cauca,146823,948582.37,146.82
2006,Abril,Valle del Cauca,1195251,6774099.58,1195.25
2006,Abril,Valle del Cauca,19172,108366.87,19.17
2006,Abril,Valle del Cauca,19232,114676.34,19.23
2006,Abril,Valle del Cauca,540,9642.34,0.54
2006,Abril,Valle del Cauca,648,10471.23,0.65
2006,Abril,Valle del Cauca,104663,645919.48,104.66
2007,Abril,Antioquia,2527315,13486491.36,2527.32
2007,Abril,Antioquia,1040889,5524365.23,1040.89
2007,Abril,Antioquia,62663,330832.64,62.66
2007,Abril,Antioquia,230195,1280477.34,230.19
2007,Abril,Antioquia,410059,2313019.05,410.06
2007,Abril,Antioquia,3760783,20182866.1,3760.78
2007,Abril,Antioquia,4800,48897.18,4.8
2007,Abril,Antioquia,186628,1046240.87,186.63
2007,Abril,Antioquia,227120,1266434.97,227.12
2007,Abril,Antioquia,15300,164342.33,15.3
2007,Abril,Antioquia,38295,206739.02,38.3
2007,Abril,Antioquia,391960,2199844.57,391.96
2007,Abril,Antioquia,176593,965147.33,176.59
2007,Abril,Antioquia,277084,1562657.47,277.08
2007,Abril,Antioquia,43380,249627.47,43.38
2007,Abril,Antioquia,339947,1938272.2,339.95
2007,Abril,Antioquia,105012,567372.91,105.01
2007,Abril,Antioquia,57631,313194.04,57.63
2007,Abril,Antioquia,515410,2780358.62,515.41
2007,Abril,Antioquia,380,4966.75,0.38
2007,Abril,Antioquia,83842.4,450885.15,83.84
2007,Abril,Antioquia,96097,530169.76,96.1
2007,Abril,Antioquia,35209.2,203538.01,35.21
2007,Abril,Antioquia,103451,536909.59,103.45
2007,Abril,Antioquia,2716,17208.73,2.72
2007,Abril,Antioquia,77018,466627.77,77.02
2007,Abril,Antioquia,19171,107496.64,19.17
2007,Abril,Antioquia,1266148,6875244.08,1266.15
2007,Abril,Antioquia,15614,88413.04,15.61
2007,Abril,Atlántico,600,6250.14,0.6
2007,Abril,Atlántico,70530,533743.05,70.53
2007,Abril,Atlántico,38468,268421.77,38.47
2007,Abril,Bogotá,2617.92,30572.04,2.62
2007,Abril,Bogotá,1505.56,18976.79,1.51
2007,Abril,Bogotá,30,372.96,0.03
2007,Abril,Bogotá,640,8438.03,0.64
2007,Abril,Bogotá,140,1701.38,0.14
2007,Abril,Bogotá,10,118.8,0.01
2007,Abril,Bogotá,182.5,1206.04,0.18
2007,Abril,Bogotá,300,2545.7,0.3
2007,Abril,Bogotá,300,2545.7,0.3
2007,Abril,Bogotá,1500,10513.44,1.5
2007,Abril,Bogotá,200,1752.24,0.2
2007,Abril,Bogotá,351874,1883148.07,351.87
2007,Abril,Bogotá,59868,348403.08,59.87
2007,Abril,Bogotá,57511,320051.02,57.51
2007,Abril,Bogotá,76734,428356.48,76.73
2007,Abril,Bogotá,115416,673915.71,115.42
2007,Abril,Bogotá,63105,340390.19,63.1
2007,Abril,Bogotá,192443,1088290.11,192.44
2007,Abril,Bogotá,2741.76,38309.61,2.74
2007,Abril,Bogotá,3740.18,55338.94,3.74
2007,Abril,Bogotá,856.8,12821.71,0.86
2007,Abril,Bogotá,199078,1174785.09,199.08
2007,Abril,Bogotá,19919,124137.58,19.92
2007,Abril,Bogotá,19912,109888.81,19.91
2007,Abril,Bogotá,230404,1592494.54,230.4
