anio,mes,departamento,cantidadunidades,valormilespesos,toneladas
2006,Abril,Caldas,464,1185.85,0.46
2006,Abril,Antioquia,17836.8,36119.59,17.84
2006,Abril,Bogotá,60,137.32,0.06
2006,Agosto,Bogotá,2700,16712.36,2.7
2006,Diciembre,Cundinamarca,1250,2268.34,1.25
2006,Diciembre,Bogotá,432,1715.1,0.43
2006,Diciembre,Bogotá,12000,13441.37,12
2006,Diciembre,Bogotá,3393,7286.2,3.39
2006,Diciembre,Risaralda,2000,6534,2
2006,Enero,Cundinamarca,3960,25249.5,3.96
2006,Febrero,Antioquia,1382.4,4258.23,1.38
2006,Febrero,Antioquia,23182,39254.69,23.18
2006,Julio,Antioquia,11199,26818.62,11.2
2006,Julio,Antioquia,54.42,3.78,0.05
2006,Junio,Antioquia,691.2,2815.17,0.69
2006,Junio,Bogotá,3674,14286.57,3.67
2006,Marzo,Cundinamarca,750,6614.7,0.75
2006,Marzo,Magdalena,24948,22976.27,24.95
2006,Marzo,Bogotá,5275,11340.84,5.28
2006,Mayo,Antioquia,691.2,2792.76,0.69
2006,Mayo,Antioquia,23727,41339.96,23.73
2006,Mayo,Bogotá,19885,73458.38,19.89
2006,Mayo,Cundinamarca,1200,3085.16,1.2
2006,Mayo,Antioquia,4,5.57,0
2006,Mayo,Valle del Cauca,1440,3544.11,1.44
2006,Noviembre,Bogotá,2430,9450.79,2.43
2006,Octubre,Bogotá,18135,70536.24,18.14
2006,Octubre,Valle del Cauca,9,16.91,0.01
2006,Octubre,Bogotá,50,87.96,0.05
2006,Septiembre,Antioquia,23680,34335.99,23.68
2006,Septiembre,Bogotá,2475,5576.58,2.48
2007,Abril,Bogotá,20,43.16,0.02
2007,Abril,Bogotá,19068,62822.51,19.07
2007,Diciembre,Bogotá,981,1489.87,0.98
2007,Diciembre,Caldas,240,678.94,0.24
2007,Diciembre,Bogotá,4891.7,23267.09,4.89
2007,Enero,Bogotá,80,211.61,0.08
2007,Enero,Antioquia,9,13.33,0.01
2007,Enero,Bogotá,5.38,13.57,0.01
2007,Febrero,Bogotá,423.84,2059.69,0.42
2007,Febrero,Antioquia,13886,40266.99,13.89
2007,Febrero,Bogotá,3930,8247.38,3.93
2007,Julio,Bogotá,18523,57546.12,18.52
2007,Julio,Cundinamarca,872,3464.14,0.87
2007,Julio,Valle del Cauca,15000,34578.72,15
2007,Junio,Bogotá,10,76.03,0.01
2007,Junio,Antioquia,14.85,111.45,0.01
2007,Marzo,Bogotá,248,343.59,0.25
2007,Marzo,Antioquia,21037,40522.51,21.04
2007,Marzo,Bogotá,1243,5116.55,1.24
2007,Marzo,Bogotá,7230,14271.6,7.23
2007,Mayo,Bogotá,72,202.54,0.07
2007,Noviembre,Valle del Cauca,120,470.1,0.12
2007,Noviembre,Bogotá,4992.2,7479.36,4.99
2007,Octubre,Valle del Cauca,5,1.96,0.01
2007,Octubre,Valle del Cauca,2,1.96,0
2007,Septiembre,Bogotá,5335,9943.52,5.34
2008,Abril,Santander,125,130.87,0.13
2008,Abril,Valle del Cauca,870,2897.69,0.87
2008,Abril,Norte de Santander,225,89.64,0.23
2008,Agosto,Santander,1170,3348.8,1.17
2008,Agosto,Amazonas,10,27.24,0.01
2008,Agosto,Caldas,240,677.56,0.24
2008,Agosto,Antioquia,20400,38021.74,20.4
