departamento,anio,mes,cantidadunidades,valormilespesos,toneladas
Antioquia,2006,Abril,21864.00,234767.93,21.86
Antioquia,2006,Abril,11880.00,51371.67,11.88
Antioquia,2006,Abril,2419.20,25029.55,2.42
Antioquia,2006,Abril,1707.67,11964.30,1.71
Antioquia,2006,Abril,4685.04,80079.09,4.69
Antioquia,2006,Abril,38245.95,206915.96,38.25
Antioquia,2006,Abril,200100.00,702038.15,200.10
Antioquia,2007,Abril,5000.00,15418.50,5.00
Antioquia,2007,Abril,3395.90,118552.12,3.40
Antioquia,2007,Abril,175.00,2685.49,0.18
Antioquia,2007,Abril,230.40,1198.57,0.23
Antioquia,2007,Abril,1728.00,11092.74,1.73
Antioquia,2007,Abril,432.50,3094.13,0.43
Antioquia,2007,Abril,5398.65,76732.18,5.40
Antioquia,2008,Abril,1027.20,11435.26,1.03
Antioquia,2008,Abril,12124.80,111245.17,12.12
Antioquia,2008,Abril,5368.60,153093.38,5.37
Antioquia,2008,Abril,50.00,658.33,0.05
Antioquia,2008,Abril,576.00,2610.13,0.58
Antioquia,2008,Abril,4620.96,49770.28,4.62
Antioquia,2008,Abril,10240.00,35689.92,10.24
Antioquia,2008,Abril,536.68,1390.53,0.54
Antioquia,2008,Abril,11500.00,52045.21,11.50
Antioquia,2008,Abril,3267.00,19945.79,3.27
Antioquia,2008,Abril,2057.76,20480.81,2.06
Antioquia,2008,Abril,900.00,10413.22,0.90
Antioquia,2008,Abril,2040.00,34838.86,2.04
Antioquia,2008,Abril,19000.00,29513.52,19.00
Antioquia,2008,Abril,450294.00,1669374.88,450.29
Antioquia,2008,Abril,28758.43,172858.47,28.76
Antioquia,2008,Abril,74776.80,414502.94,74.78
Antioquia,2008,Abril,420000.00,525009.51,420.00
Antioquia,2009,Abril,24603.68,320567.75,24.60
Antioquia,2009,Abril,1000.00,15125.85,1.00
Antioquia,2009,Abril,3123.36,53708.01,3.12
Antioquia,2009,Abril,1316.40,50549.22,1.32
Antioquia,2009,Abril,8318.68,200262.21,8.32
Antioquia,2009,Abril,75.00,2057.53,0.08
Antioquia,2009,Abril,1.00,30.20,0.00
Antioquia,2009,Abril,17830.20,130908.91,17.83
Antioquia,2009,Abril,100000.00,503205.72,100.00
Antioquia,2009,Abril,11500.00,76507.64,11.50
Antioquia,2009,Abril,32.00,446.21,0.03
Antioquia,2009,Abril,1200.00,6733.85,1.20
Antioquia,2009,Abril,12674.40,138972.77,12.67
Antioquia,2009,Abril,240.00,7972.60,0.24
Antioquia,2009,Abril,125097.00,676062.28,125.10
Antioquia,2009,Abril,17707.97,151170.82,17.71
Antioquia,2009,Abril,12488.64,98725.31,12.49
Antioquia,2009,Abril,46116.64,469238.18,46.12
Antioquia,2010,Abril,9946.48,110973.49,9.95
Antioquia,2010,Abril,5004.57,83238.79,5.00
Antioquia,2010,Abril,150075.00,954467.27,150.07
Antioquia,2010,Abril,8819.38,74462.34,8.82
Antioquia,2010,Abril,5688.00,42683.04,5.69
Antioquia,2010,Abril,240000.00,1937316.96,240.00
Antioquia,2010,Abril,20584.80,82918.83,20.58
Antioquia,2010,Abril,8640.00,56694.23,8.64
Antioquia,2010,Abril,2436.62,76003.48,2.44
Antioquia,2010,Abril,3369.19,100856.90,3.37
Antioquia,2010,Abril,8022.00,101778.25,8.02
Antioquia,2010,Abril,30810.00,258454.65,30.81
Antioquia,2010,Abril,13920.00,45904.55,13.92
Antioquia,2010,Abril,15405.00,129752.07,15.40
Antioquia,2010,Abril,23574.00,264525.38,23.57
Antioquia,2010,Abril,3109.84,13835.32,3.11
Antioquia,2010,Abril,6331.00,28480.91,6.33
Antioquia,2010,Abril,7489.00,32065.56,7.49
Antioquia,2010,Abril,6795.00,34047.73,6.80
Antioquia,2010,Abril,75.00,2393.31,0.08
Antioquia,2010,Abril,18790.00,3758.01,18.79
Antioquia,2011,Abril,360.00,10100.40,0.36
Antioquia,2011,Abril,60000.00,162227.79,60.00
Antioquia,2011,Abril,16554.76,260152.88,16.55
Antioquia,2011,Abril,35486.22,272363.78,35.49
Antioquia,2011,Abril,18516.80,147246.49,18.52
Antioquia,2011,Abril,680000.00,5277382.22,680.00
Antioquia,2011,Abril,32000.00,308369.07,32.00
Antioquia,2011,Abril,256.00,2636.96,0.26
Antioquia,2011,Abril,80000.00,620868.50,80.00
Antioquia,2011,Abril,1260.00,9389.27,1.26
Antioquia,2011,Abril,1968.33,22982.71,1.97
Antioquia,2011,Abril,21277.67,246356.71,21.28
Antioquia,2011,Abril,720.00,17522.80,0.72
Antioquia,2011,Abril,2657.40,35402.19,2.66
Antioquia,2011,Abril,1216.50,18051.98,1.22
Antioquia,2011,Abril,12636.00,9035.12,12.64
Antioquia,2011,Abril,2152.69,29632.65,2.15
Antioquia,2011,Abril,5064.71,31057.33,5.06
Antioquia,2011,Abril,4684.00,19870.76,4.68
Antioquia,2011,Abril,18624.00,80118.90,18.62
Antioquia,2012,Abril,5.00,105.52,0.01
Antioquia,2012,Abril,1410.72,15416.20,1.41
Antioquia,2012,Abril,8900.88,97267.70,8.90
Antioquia,2012,Abril,9123.84,84661.88,9.12
Antioquia,2012,Abril,32829.98,291425.39,32.83
Antioquia,2012,Abril,275517.00,1238625.94,275.52
Antioquia,2012,Abril,80000.00,630388.11,80.00
Antioquia,2012,Abril,22996.80,146286.86,23.00
Antioquia,2012,Abril,124.80,2832.24,0.12
Antioquia,2012,Abril,16500.00,157197.28,16.50
Antioquia,2012,Abril,2808.00,44655.60,2.81
Antioquia,2012,Abril,1694.40,22319.59,1.69
Antioquia,2012,Abril,1763.00,13029.45,1.76
Antioquia,2012,Abril,18580.00,79855.54,18.58
Antioquia,2012,Abril,15000.00,178457.58,15.00
Antioquia,2012,Abril,273.84,6749.12,0.27
Antioquia,2012,Abril,36.40,1194.81,0.04
Antioquia,2012,Abril,2041.00,23961.23,2.04
Antioquia,2012,Abril,979.78,6379.77,0.98
Antioquia,2012,Abril,633.60,9716.58,0.63
Antioquia,2012,Abril,184.32,7957.56,0.18
Antioquia,2013,Abril,10.00,412.90,0.01
Antioquia,2013,Abril,28126.64,507218.89,28.13
Antioquia,2013,Abril,100000.00,489844.85,100.00
Antioquia,2013,Abril,11232.00,86006.39,11.23
Antioquia,2013,Abril,7200.00,50663.41,7.20
Antioquia,2013,Abril,425.20,3365.51,0.43
Antioquia,2013,Abril,7999.20,77015.29,8.00
Antioquia,2013,Abril,27998.87,253900.62,28.00
Antioquia,2013,Abril,208.80,8810.99,0.21
Antioquia,2013,Abril,978.20,33190.99,0.98
Antioquia,2013,Abril,838.20,32199.21,0.84
Antioquia,2013,Abril,17000.00,121710.18,17.00
Antioquia,2013,Abril,49671.98,378888.21,49.67
Antioquia,2013,Abril,653.19,4697.19,0.65
Antioquia,2013,Abril,68.00,1400.13,0.07
Antioquia,2013,Abril,21955.00,104732.18,21.95
Antioquia,2013,Abril,13134.60,83130.21,13.13
Antioquia,2013,Abril,12723.00,50212.56,12.72
Antioquia,2013,Abril,25200.00,124064.25,25.20
Antioquia,2013,Abril,25.00,723.25,0.03
Antioquia,2014,Abril,10.00,1548.72,0.01
Antioquia,2014,Abril,15600.00,38605.90,15.60
Antioquia,2014,Abril,19979.56,406180.59,19.98
Antioquia,2014,Abril,2424.00,21166.23,2.42
Antioquia,2014,Abril,20000.00,113730.01,20.00
Antioquia,2014,Abril,49742.79,461878.68,49.74
Antioquia,2014,Abril,450100.00,2530052.94,450.10
Antioquia,2014,Abril,12247.20,97144.63,12.25
Antioquia,2014,Abril,25000.00,222677.85,25.00
Antioquia,2014,Abril,50120.60,400220.53,50.12
Antioquia,2014,Abril,169.50,4036.43,0.17
Antioquia,2014,Abril,568.50,5460.53,0.57
Antioquia,2014,Abril,1226.70,23300.34,1.23
Antioquia,2014,Abril,756.60,21719.91,0.76
Antioquia,2014,Abril,763.00,18385.85,0.76
Antioquia,2014,Abril,523.60,27683.55,0.52
Antioquia,2014,Abril,727.24,34925.37,0.73
Antioquia,2014,Abril,5103.00,44576.53,5.10
Antioquia,2014,Abril,1638.00,27919.26,1.64
Antioquia,2014,Abril,1876.80,26328.56,1.88
Antioquia,2014,Abril,200.40,4257.90,0.20
Antioquia,2014,Abril,15576.00,194593.92,15.58
Antioquia,2014,Abril,25.00,700.44,0.03
Antioquia,2014,Abril,8064.00,42804.68,8.06
Antioquia,2014,Abril,1080.00,5460.67,1.08
Antioquia,2014,Abril,13100.00,47123.63,13.10
Antioquia,2014,Abril,50400.00,294733.43,50.40
Antioquia,2014,Abril,12.95,362.15,0.01
Antioquia,2014,Abril,21.60,889.94,0.02
Antioquia,2014,Abril,1593.00,14277.34,1.59
Antioquia,2014,Abril,50.00,1080.87,0.05
Antioquia,2014,Abril,50400.00,302134.17,50.40
Antioquia,2015,Abril,9656.78,231954.55,9.66
Antioquia,2015,Abril,16121.13,196121.96,16.12
Antioquia,2015,Abril,100050.00,733569.06,100.05
Antioquia,2015,Abril,16979.80,119996.32,16.98
Antioquia,2015,Abril,32000.00,235710.70,32.00
Antioquia,2015,Abril,48.00,329.30,0.05
Antioquia,2015,Abril,1155.00,6459.60,1.16
Antioquia,2015,Abril,7875.00,34509.75,7.88
Antioquia,2015,Abril,242.10,6170.43,0.24
Antioquia,2015,Abril,786.00,8165.87,0.79
Antioquia,2015,Abril,8798.20,184180.48,8.80
Antioquia,2015,Abril,1542.00,46247.30,1.54
Antioquia,2015,Abril,1309.60,35580.43,1.31
Antioquia,2015,Abril,1159.76,64961.73,1.16
Antioquia,2015,Abril,3338.97,115587.34,3.34
Antioquia,2015,Abril,132.65,2990.07,0.13
Antioquia,2015,Abril,8434.90,166841.06,8.43
Antioquia,2015,Abril,486.00,9647.32,0.49
Antioquia,2015,Abril,25.00,779.77,0.03
Antioquia,2015,Abril,27706.94,152549.29,27.71
Antioquia,2015,Abril,960.00,7196.68,0.96
Antioquia,2015,Abril,17664.00,132752.27,17.66
Antioquia,2015,Abril,622.08,36990.25,0.62
Antioquia,2015,Abril,25.00,1002.36,0.03
Antioquia,2015,Abril,29.70,3145.09,0.03
Antioquia,2016,Abril,99.60,11259.23,0.10
Antioquia,2016,Abril,120.00,1353.76,0.12
Antioquia,2016,Abril,40000.00,279558.32,40.00
Antioquia,2016,Abril,600200.00,5042334.00,600.20
Antioquia,2016,Abril,32000.00,317648.76,32.00
Antioquia,2016,Abril,10119.30,227716.65,10.12
Antioquia,2016,Abril,1197.50,14055.53,1.20
Antioquia,2016,Abril,721.95,18745.75,0.72
Antioquia,2016,Abril,2875.10,69393.83,2.88
Antioquia,2016,Abril,801.60,20962.57,0.80
Antioquia,2016,Abril,6792.20,85986.90,6.79
Antioquia,2016,Abril,25.00,1187.34,0.03
Antioquia,2017,Abril,30583.60,230017.68,30.58
Antioquia,2017,Abril,3124.00,93350.35,3.12
Antioquia,2017,Abril,2177.28,137300.21,2.18
Antioquia,2017,Abril,1979.40,66492.13,1.98
Antioquia,2017,Abril,655.20,25189.57,0.66
Antioquia,2017,Abril,60.00,1361.84,0.06
Antioquia,2017,Abril,21910.80,158252.78,21.91
Antioquia,2017,Abril,25.00,1095.53,0.03
Antioquia,2017,Abril,10926.62,112464.01,10.93
Antioquia,2017,Abril,19370.06,88238.34,19.37
Antioquia,2017,Abril,9419.50,174384.24,9.42
Antioquia,2017,Abril,498.75,5987.49,0.50
Antioquia,2017,Abril,18072.86,298052.91,18.07
Antioquia,2017,Abril,18.00,1003.07,0.02
Antioquia,2017,Abril,2389.53,88015.71,2.39
Antioquia,2017,Abril,5224.26,211092.52,5.22
Antioquia,2017,Abril,127.20,13789.52,0.13
Antioquia,2017,Abril,31000.00,302421.29,31.00
Antioquia,2017,Abril,653.18,7221.40,0.65
Antioquia,2017,Abril,1500.00,19656.86,1.50
Antioquia,2017,Abril,480.00,3393.12,0.48
Antioquia,2017,Abril,931.44,28418.55,0.93
Antioquia,2017,Abril,13114.80,133916.19,13.11
Antioquia,2017,Abril,25.00,1217.36,0.03
Atlántico,2006,Abril,3233.62,13131.91,3.23
Atlántico,2007,Abril,10896.80,97023.08,10.90
Atlántico,2007,Abril,28324.37,230462.26,28.32
Atlántico,2007,Abril,442.98,4367.55,0.44
Atlántico,2008,Abril,17.37,142.65,0.02
Atlántico,2008,Abril,340.20,715.43,0.34
Atlántico,2008,Abril,27827.32,181149.30,27.83
Atlántico,2008,Abril,553.52,4917.99,0.55
Atlántico,2009,Abril,7907.20,93255.57,7.91
Atlántico,2009,Abril,7150.50,81688.51,7.15
Atlántico,2009,Abril,816.00,10635.54,0.82
Atlántico,2009,Abril,907.31,1618.67,0.91
Atlántico,2009,Abril,17.36,224.14,0.02
Atlántico,2009,Abril,15397.62,171438.68,15.40
Atlántico,2010,Abril,18703.48,131646.96,18.70
Atlántico,2011,Abril,949.02,2897.78,0.95
Atlántico,2011,Abril,42979.36,288180.50,42.98
Atlántico,2011,Abril,19266.53,130989.71,19.27
Atlántico,2011,Abril,1512.00,1961.01,1.51
Atlántico,2011,Abril,69.46,683.41,0.07
